SURVEY: PS1MD
SNID:  PSc000076
IAUC:    UNKNOWN
RA:         129.2608  deg
DECL:        43.738  deg
MWEBV:  0.0245  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2600  +- 0.0000 CMB
SEARCH_PEAKMJD: 55207.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 390
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55889.6 z NULL  -5.552 14.526 nan -2.841
OBS: 55891.5 z NULL  -1.612 20.425 nan -13.755
OBS: 55894.5 z NULL  -2.738 10.868 nan -4.310
OBS: 55897.6 z NULL  40.568 21.870 -9.020 0.585
OBS: 55899.6 z NULL  -12.091 11.976 nan -1.075
OBS: 55901.6 z NULL  -6.199 14.766 nan -2.586
OBS: 55910.6 z NULL  9.694 18.189 -7.466 2.037
OBS: 55913.5 z NULL  -16.237 23.814 nan -1.592
OBS: 55929.4 z NULL  -13.979 16.071 nan -1.248
OBS: 55931.6 z NULL  5.393 16.825 -6.830 3.387
OBS: 55940.5 z NULL  13.644 20.323 -7.837 1.617
OBS: 55946.6 z NULL  -40.965 29.607 nan -0.785
OBS: 55951.6 z NULL  18.459 18.801 -8.166 1.106
OBS: 55954.4 z NULL  -2.884 32.239 nan -12.135
OBS: 55957.4 z NULL  -14.783 13.720 nan -1.008
OBS: 55959.5 z NULL  163.593 44.873 -10.534 0.298
OBS: 55961.3 z NULL  28.194 18.425 -8.625 0.710
OBS: 55967.5 z NULL  5.337 17.075 -6.818 3.474
OBS: 55969.5 z NULL  1.765 11.671 -5.617 7.179
OBS: 55972.3 z NULL  -3.362 13.404 nan -4.329
OBS: 55978.3 z NULL  59.215 26.627 -9.431 0.488
OBS: 55983.3 z NULL  -13.470 15.235 nan -1.228
OBS: 55997.3 z NULL  20.316 15.867 -8.270 0.848
OBS: 55999.3 z NULL  -31.950 29.414 nan -1.000
OBS: 56002.3 z NULL  21.152 21.896 -8.313 1.124
OBS: 56005.3 z NULL  6.152 15.450 -6.972 2.727
OBS: 56016.3 z NULL  6.333 24.295 -7.004 4.165
OBS: 56047.3 z NULL  -1.045 22.726 nan -23.603
OBS: 56049.3 z NULL  21.498 20.073 -8.331 1.014
